"age_stand","sex","uk_pop"
"18-24 y","Female",2281427
"18-24 y","Male",2428162
"25-29 y","Female",1847077
"25-29 y","Male",1924416
"30-34 y","Female",1908240
"30-34 y","Male",1916412
"35-39 y","Female",1885240
"35-39 y","Male",1852969
"40-44 y","Female",1746035
"40-44 y","Male",1730268
"45-49 y","Female",1835431
"45-49 y","Male",1803208
"50-54 y","Female",1964033
"50-54 y","Male",1911318
"55-59 y","Female",1909189
"55-59 y","Male",1852593
"60-64 y","Female",1628324
"60-64 y","Male",1568489
"65-69 y","Female",1436586
"65-69 y","Male",1347714
"70-74 y","Female",1470201
"70-74 y","Male",1343927
"75-79 y","Female",1075918
"75-79 y","Male",934074
"80-84 y","Female",809171
"80-84 y","Male",640018
"85-89 y","Female",529161
"85-89 y","Male",356182
"90+ y","Female",351519
"90+ y","Male",169548
"18-24 y","Total",4709589
"25-29 y","Total",3771493
"30-34 y","Total",3824652
"35-39 y","Total",3738209
"40-44 y","Total",3476303
"45-49 y","Total",3638639
"50-54 y","Total",3875351
"55-59 y","Total",3761782
"60-64 y","Total",3196813
"65-69 y","Total",2784300
"70-74 y","Total",2814128
"75-79 y","Total",2009992
"80-84 y","Total",1449189
"85-89 y","Total",885343
"90+ y","Total",521067
"Total","Female",22677552
"Total","Male",21779298
"Total","Total",44456850
